ENSG00000147443.11	DOK2
ENSG00000100368.12	CSF2RB
ENSG00000158714.9	SLAMF8
ENSG00000110324.8	IL10RA
ENSG00000143119.11	CD53
ENSG00000110876.9	SELPLG
ENSG00000182326.13	C1S
ENSG00000162739.12	SLAMF6
ENSG00000115919.13	KYNU
ENSG00000154589.5	LY96
ENSG00000128340.13	RAC2
ENSG00000026751.15	SLAMF7
ENSG00000123338.11	NCKAP1L
ENSG00000167208.13	SNX20
ENSG00000198624.11	CCDC69
ENSG00000134516.14	DOCK2
ENSG00000076662.8	ICAM3
ENSG00000131042.12	LILRB2
ENSG00000081237.17	PTPRC
ENSG00000100055.19	CYTH4
ENSG00000180353.9	HCLS1
ENSG00000156127.6	BATF
ENSG00000137752.21	CASP1
ENSG00000184922.12	FMNL1
ENSG00000187688.13	TRPV2
ENSG00000204397.6	CARD16
ENSG00000178562.16	CD28
ENSG00000269609.4	RPARP-AS1
ENSG00000177842.10	ZNF620
ENSG00000122122.9	SASH3
ENSG00000010610.8	CD4
ENSG00000072786.11	STK10
ENSG00000178860.8	MSC
ENSG00000280721.1	LINC01943
ENSG00000139278.8	GLIPR1
ENSG00000015285.9	WAS
ENSG00000102359.5	SRPX2
ENSG00000143851.14	PTPN7
ENSG00000070190.11	DAPP1
ENSG00000136167.12	LCP1
ENSG00000161638.9	ITGA5
ENSG00000130755.11	GMFG
ENSG00000149781.11	FERMT3
ENSG00000028137.15	TNFRSF1B
ENSG00000178033.5	CALHM5
ENSG00000025708.11	TYMP
ENSG00000159403.14	C1R
ENSG00000170500.11	LONRF2
ENSG00000168685.13	IL7R
ENSG00000147168.11	IL2RG
ENSG00000178467.16	P4HTM
ENSG00000163466.14	ARPC2
ENSG00000115165.8	CYTIP
ENSG00000165474.5	GJB2
ENSG00000120949.13	TNFRSF8
ENSG00000162511.7	LAPTM5
ENSG00000115884.9	SDC1
ENSG00000136828.17	RALGPS1
ENSG00000100105.16	PATZ1
ENSG00000116701.13	NCF2
ENSG00000154451.13	GBP5
ENSG00000163219.10	ARHGAP25
ENSG00000077984.5	CST7
ENSG00000075884.11	ARHGAP15
ENSG00000256633.1	PDE2A-AS2
ENSG00000166741.6	NNMT
ENSG00000180644.6	PRF1
ENSG00000119714.9	GPR68
ENSG00000230510.5	PPP5D1
ENSG00000163154.5	TNFAIP8L2
ENSG00000185905.3	C16orf54
ENSG00000167286.8	CD3D
ENSG00000155307.16	SAMSN1
ENSG00000100365.13	NCF4
ENSG00000103522.14	IL21R
ENSG00000261371.4	PECAM1
ENSG00000103196.10	CRISPLD2
ENSG00000203288.3	TDRKH-AS1
ENSG00000160593.16	JAML
ENSG00000186517.12	ARHGAP30
ENSG00000172349.15	IL16
ENSG00000267221.1	C17orf113
ENSG00000114013.14	CD86
ENSG00000273344.1	PAXIP1-AS1
ENSG00000165113.11	GKAP1
ENSG00000043462.10	LCP2
ENSG00000135439.10	AGAP2
ENSG00000275367.1	AC092111.1
ENSG00000115935.15	WIPF1
ENSG00000096996.14	IL12RB1
ENSG00000267254.4	ZNF790-AS1
ENSG00000009790.13	TRAF3IP3
ENSG00000110934.9	BIN2
ENSG00000135108.13	FBXO21
ENSG00000247774.5	PCED1B-AS1
ENSG00000005189.18	REXO5
ENSG00000183876.8	ARSI
ENSG00000251601.1	AC022441.2
ENSG00000079263.17	SP140
ENSG00000171310.9	CHST11
ENSG00000135074.14	ADAM19
ENSG00000228427.1	AL590764.1
ENSG00000135951.13	TSGA10
ENSG00000223485.1	LINC01615
ENSG00000179299.15	NSUN7
ENSG00000077238.12	IL4R
ENSG00000180828.2	BHLHE22
ENSG00000170604.4	IRF2BP1
ENSG00000140368.11	PSTPIP1
ENSG00000099998.16	GGT5
ENSG00000204577.10	LILRB3
ENSG00000005844.16	ITGAL
ENSG00000106366.8	SERPINE1
ENSG00000123342.14	MMP19
ENSG00000105662.14	CRTC1
ENSG00000105352.9	CEACAM4
ENSG00000164050.11	PLXNB1
ENSG00000234715.1	AC005064.1
ENSG00000197928.9	ZNF677
ENSG00000146112.10	PPP1R18
ENSG00000117090.13	SLAMF1
ENSG00000224165.4	DNAJC27-AS1
ENSG00000176244.6	ACBD7
ENSG00000080573.6	COL5A3
ENSG00000155926.12	SLA
ENSG00000198870.7	STKLD1
ENSG00000196422.9	PPP1R26
ENSG00000147274.13	RBMX
ENSG00000113263.11	ITK
ENSG00000110031.11	LPXN
ENSG00000123329.16	ARHGAP9
ENSG00000173611.16	SCAI
ENSG00000143226.12	FCGR2A
ENSG00000057657.13	PRDM1
ENSG00000163568.12	AIM2
ENSG00000000971.14	CFH
ENSG00000168542.11	COL3A1
ENSG00000163131.9	CTSS
ENSG00000144659.9	SLC25A38
ENSG00000134954.13	ETS1
ENSG00000113722.15	CDX1
ENSG00000110852.4	CLEC2B
ENSG00000166250.10	CLMP
ENSG00000231028.7	LINC00271
ENSG00000197646.7	PDCD1LG2
ENSG00000130592.12	LSP1
ENSG00000082074.14	FYB1
ENSG00000176153.11	GPX2
ENSG00000151790.7	TDO2
ENSG00000270741.1	PRELID3BP8
ENSG00000160791.13	CCR5
ENSG00000092377.12	TBL1Y
ENSG00000168421.11	RHOH
ENSG00000132185.15	FCRLA
ENSG00000185811.15	IKZF1
ENSG00000253098.1	RNU7-161P
ENSG00000141968.6	VAV1
ENSG00000084693.14	AGBL5
ENSG00000110446.8	SLC15A3
ENSG00000223547.8	ZNF844
ENSG00000087116.12	ADAMTS2
ENSG00000135093.11	USP30
ENSG00000121797.9	CCRL2
ENSG00000267772.1	LINC01999
ENSG00000131378.12	RFTN1
ENSG00000161996.16	WDR90
ENSG00000140285.8	FGF7
ENSG00000235531.8	MSC-AS1
ENSG00000178093.13	TSSK6
ENSG00000168229.3	PTGDR
ENSG00000279259.1	AC087741.3
ENSG00000169957.9	ZNF768
ENSG00000156345.16	CDK20
ENSG00000126882.11	FAM78A
ENSG00000143443.9	C1orf56
ENSG00000162396.5	PARS2
ENSG00000198796.6	ALPK2
ENSG00000204472.11	AIF1
ENSG00000237989.1	LINC01679
ENSG00000102802.8	MEDAG
ENSG00000092929.10	UNC13D
ENSG00000121653.10	MAPK8IP1
ENSG00000142347.15	MYO1F
ENSG00000253482.1	IGHVII-26-2
ENSG00000239415.1	AP001469.3
ENSG00000028277.19	POU2F2
ENSG00000205309.12	NT5M
ENSG00000163297.15	ANTXR2
ENSG00000243943.8	ZNF512
ENSG00000185049.11	NELFA
ENSG00000261455.1	LINC01003
ENSG00000126860.10	EVI2A
ENSG00000108950.10	FAM20A
ENSG00000005379.14	TSPOAP1
ENSG00000140511.10	HAPLN3
ENSG00000211772.7	TRBC2
ENSG00000142156.13	COL6A1
ENSG00000134460.14	IL2RA
ENSG00000196839.11	ADA
ENSG00000228835.1	AC012123.1
ENSG00000110448.9	CD5
ENSG00000261625.1	AP003071.4
ENSG00000162614.17	NEXN
ENSG00000147130.13	ZMYM3
ENSG00000142173.13	COL6A2
ENSG00000166526.15	ZNF3
ENSG00000223343.1	AC137630.1
ENSG00000054690.12	PLEKHH1
ENSG00000136451.7	VEZF1
ENSG00000177105.9	RHOG
ENSG00000133574.8	GIMAP4
ENSG00000109943.7	CRTAM
ENSG00000128581.14	IFT22
ENSG00000134955.10	SLC37A2
ENSG00000143373.16	ZNF687
ENSG00000132386.9	SERPINF1
ENSG00000089327.13	FXYD5
ENSG00000115956.9	PLEK
ENSG00000151702.15	FLI1
ENSG00000213654.8	GPSM3
ENSG00000204287.12	HLA-DRA
ENSG00000258162.2	AC069228.1
ENSG00000227398.3	KIF9-AS1
ENSG00000131067.15	GGT7
ENSG00000163359.14	COL6A3
ENSG00000136859.8	ANGPTL2
ENSG00000168763.14	CNNM3
ENSG00000130635.14	COL5A1
ENSG00000135426.13	TESPA1
ENSG00000163599.13	CTLA4
ENSG00000011295.14	TTC19
ENSG00000007129.16	CEACAM21
ENSG00000232485.2	RPL37A-DT
ENSG00000111348.7	ARHGDIB
ENSG00000143258.14	USP21
ENSG00000272106.1	AL691432.2
ENSG00000198221.8	AFDN-DT
ENSG00000259495.2	AC016705.2
ENSG00000126246.8	IGFLR1
ENSG00000198821.9	CD247
ENSG00000278549.1	MIR6736
ENSG00000184730.9	APOBR
ENSG00000137198.8	GMPR
ENSG00000254483.1	SUGT1P4
ENSG00000184838.13	PRR16
ENSG00000161944.15	ASGR2
ENSG00000087245.11	MMP2
ENSG00000105122.11	RASAL3
ENSG00000122862.4	SRGN
ENSG00000108821.12	COL1A1
ENSG00000118985.13	ELL2
ENSG00000175471.18	MCTP1
ENSG00000110987.7	BCL7A
ENSG00000115526.9	CHST10
ENSG00000100453.11	GZMB
ENSG00000182872.14	RBM10
ENSG00000149557.11	FEZ1
ENSG00000188404.7	SELL
ENSG00000154262.11	ABCA6
ENSG00000221933.2	OR2A25
ENSG00000248668.2	OXCT1-AS1
ENSG00000183486.11	MX2
ENSG00000198851.8	CD3E
ENSG00000197705.8	KLHL14
ENSG00000185837.3	HDHD5-AS1
ENSG00000133027.16	PEMT
ENSG00000138623.8	SEMA7A
ENSG00000125910.5	S1PR4
ENSG00000110077.13	MS4A6A
ENSG00000154016.12	GRAP
ENSG00000214147.2	AC092952.1
ENSG00000049249.7	TNFRSF9
ENSG00000185862.6	EVI2B
ENSG00000103313.10	MEFV
ENSG00000100364.17	KIAA0930
ENSG00000021300.12	PLEKHB1
ENSG00000077684.14	JADE1
ENSG00000111752.9	PHC1
ENSG00000115947.12	ORC4
ENSG00000078699.20	CBFA2T2
ENSG00000174807.3	CD248
ENSG00000170837.2	GPR27
ENSG00000129028.7	THAP10
ENSG00000168918.12	INPP5D
ENSG00000173762.6	CD7
ENSG00000245556.2	SCAMP1-AS1
ENSG00000122641.9	INHBA
ENSG00000023902.12	PLEKHO1
ENSG00000278744.1	AL449363.1
ENSG00000204262.10	COL5A2
ENSG00000158106.11	RHPN1
ENSG00000131236.15	CAP1
ENSG00000205571.11	SMN2
ENSG00000114742.12	WDR48
ENSG00000010361.12	FUZ
ENSG00000237032.1	RPSAP7
ENSG00000188747.7	NOXA1
ENSG00000226012.1	AP001434.1
ENSG00000141013.13	GAS8
ENSG00000123472.11	ATPAF1
ENSG00000118503.13	TNFAIP3
ENSG00000168404.11	MLKL
ENSG00000140030.5	GPR65
ENSG00000100445.15	SDR39U1
ENSG00000207393.1	RNU6-136P
ENSG00000266916.4	ZNF793-AS1
ENSG00000123143.11	PKN1
ENSG00000130244.11	FAM98C
ENSG00000084092.6	NOA1
ENSG00000013725.13	CD6
ENSG00000172006.10	ZNF554
ENSG00000235706.6	DICER1-AS1
ENSG00000196981.3	WDR5B
ENSG00000213742.5	ZNF337-AS1
ENSG00000174348.12	PODN
ENSG00000081087.13	OSTM1
ENSG00000240350.2	SOCAR
ENSG00000281912.1	LINC01144
ENSG00000104415.12	CCN4
ENSG00000133315.9	MACROD1
ENSG00000122223.11	CD244
ENSG00000171840.10	NINJ2
ENSG00000197119.11	SLC25A29
ENSG00000251230.4	MIR3945HG
ENSG00000242899.1	RPL7P16
ENSG00000240215.4	TRBV25OR9-2
ENSG00000196670.12	ZFP62
ENSG00000271714.1	AC010501.2
ENSG00000019582.13	CD74
ENSG00000122694.14	GLIPR2
ENSG00000139874.5	SSTR1
ENSG00000124203.5	ZNF831
ENSG00000158859.9	ADAMTS4
ENSG00000132153.13	DHX30
ENSG00000122121.9	XPNPEP2
ENSG00000117153.14	KLHL12
ENSG00000259436.1	AC010247.2
ENSG00000198551.8	ZNF627
ENSG00000258415.2	LONRF2P4
ENSG00000095059.14	DHPS
ENSG00000270010.1	CTD-2132N18.4
ENSG00000181458.9	TMEM45A
ENSG00000166523.6	CLEC4E
ENSG00000105197.9	TIMM50
ENSG00000254102.1	AC090136.3
ENSG00000111817.15	DSE
ENSG00000010295.18	IFFO1
ENSG00000114126.16	TFDP2
ENSG00000132357.12	CARD6
ENSG00000174586.9	ZNF497
ENSG00000273015.2	AC008124.1
ENSG00000147180.15	ZNF711
ENSG00000145040.3	UCN2
ENSG00000178252.16	WDR6
ENSG00000188542.8	DUSP28
ENSG00000261295.1	RP11-524D16__A.3
ENSG00000107738.18	VSIR
ENSG00000182492.14	BGN
ENSG00000259943.1	AL050341.2
ENSG00000135636.12	DYSF
ENSG00000139329.4	LUM
ENSG00000100532.10	CGRRF1
ENSG00000130545.14	CRB3
ENSG00000160172.9	FAM86C2P
ENSG00000236829.8	Z97634.1
ENSG00000100982.10	PCIF1
ENSG00000124006.13	OBSL1
ENSG00000126353.3	CCR7
ENSG00000269837.1	IPO5P1
ENSG00000117625.12	RCOR3
ENSG00000115073.7	ACTR1B
ENSG00000279772.1	AC026422.1
ENSG00000104177.16	MYEF2
ENSG00000138378.16	STAT4
ENSG00000187486.5	KCNJ11
ENSG00000143578.14	CREB3L4
ENSG00000166923.9	GREM1
ENSG00000204161.12	TMEM273
ENSG00000268001.1	CARD8-AS1
ENSG00000113721.12	PDGFRB
ENSG00000196220.14	SRGAP3
ENSG00000151729.9	SLC25A4
ENSG00000181751.8	MACIR
ENSG00000279496.1	CTC-251I16.1
ENSG00000223562.1	RP11-543B16.3
ENSG00000163162.7	RNF149
ENSG00000134291.10	TMEM106C
ENSG00000146834.12	MEPCE
ENSG00000197943.8	PLCG2
ENSG00000196743.7	GM2A
ENSG00000182162.8	P2RY8
ENSG00000139651.10	ZNF740
ENSG00000106333.11	PCOLCE
ENSG00000268027.4	AC243960.1
ENSG00000183160.8	TMEM119
ENSG00000174669.10	SLC29A2
ENSG00000100027.13	YPEL1
ENSG00000215883.8	CYB5RL
ENSG00000258955.1	LINC00519
ENSG00000160013.7	PTGIR
ENSG00000227855.3	DPY19L2P3
ENSG00000132406.10	TMEM128
ENSG00000275023.3	MLLT6
ENSG00000177733.6	HNRNPA0
ENSG00000227023.1	OR51A3P
ENSG00000150630.3	VEGFC
ENSG00000262227.1	AC004771.2
ENSG00000167487.10	KLHL26
ENSG00000132514.12	CLEC10A
ENSG00000138439.11	FAM117B
ENSG00000225361.3	PPP1R26-AS1
ENSG00000179715.11	PCED1B
ENSG00000178726.6	THBD
ENSG00000117091.8	CD48
ENSG00000230479.1	AP000695.1
ENSG00000250548.5	LINC01303
ENSG00000177030.15	DEAF1
ENSG00000163348.3	PYGO2
ENSG00000101098.11	RIMS4
ENSG00000242852.5	ZNF709
ENSG00000172201.9	ID4
ENSG00000280008.1	RP11-652L8.4
ENSG00000006704.9	GTF2IRD1
ENSG00000160326.12	SLC2A6
ENSG00000258414.1	AL121790.1
ENSG00000090447.10	TFAP4
ENSG00000247765.2	AC068446.2
ENSG00000204366.3	ZBTB12
